NAME10	Cross	Difilippo	Eichelberger	Schin	Other
"CAMP HILL PCT 04"	27	21	54	37	1
"CAMP HILL PCT 05"	46	31	76	41	1
"CARLISLE WD 01 PCT 01"	18	13	18	4	0
"CARLISLE WD 01 PCT 02"	25	21	26	12	0
"CARLISLE WD 02"	32	27	39	24	0
"CARLISLE WD 03 PCT 01"	69	66	29	25	1
"CARLISLE WD 03 PCT 02"	103	93	88	77	3
"CARLISLE WD 03 PCT 03"	240	210	115	74	1
"CARLISLE WD 04 PCT 01"	6	7	8	5	0
"CARLISLE WD 04 PCT 02"	70	93	64	45	0
"CARLISLE WD 05"	93	77	93	53	0
"COOKE TWP Voting District"	11	15	10	10	0
"DICKINSON TWP PCT NORTH"	188	187	200	177	2
"DICKINSON TWP PCT SOUTH"	44	58	85	62	1
"EAST PENNSBORO TWP PCT 01"	56	71	99	71	0
"EAST PENNSBORO TWP PCT 02"	62	74	89	45	1
"EAST PENNSBORO TWP PCT 03"	44	66	104	63	3
"EAST PENNSBORO TWP PCT 04"	45	69	85	49	0
"EAST PENNSBORO TWP PCT 05"	37	57	54	40	1
"EAST PENNSBORO TWP PCT 06"	8	24	23	12	0
"EAST PENNSBORO TWP PCT 07"	51	63	85	54	0
"EAST PENNSBORO TWP PCT 08"	63	77	66	36	1
"EAST PENNSBORO TWP PCT 09"	38	37	60	34	0
"EAST PENNSBORO TWP PCT 10"	27	49	65	28	0
"HAMPDEN TWP PCT 01"	21	40	64	39	2
"HAMPDEN TWP PCT 02"	28	44	70	40	0
