precinct_id_2012	Precinct	Mitt.Romney..R..2012.Vote.Totals	Barack.Obama..D..2012.Vote.Totals	OTHER.2012.Vote.Totals	Votes.Cast.2012	Ken.T..Cuccinelli.II..R..Vote.Totals	Stephen.C..Shannon..D..Vote.Totals	Other.2009.Vote.Totals	Votes.Cast	cuccinelli_share	cuccinelli_margin	romney_share	romney_margin
306.0	"306 - GREAT FALLS"	759.0	593.0	10.0	1362.0	504.0	444.0	0.0	948.0	0.531645569620253	60.0	0.55726872246696	156.0
307.0	"307 - HAYCOCK"	655.0	919.0	21.0	1595.0	510.0	681.0	1.0	1192.0	0.427852348993289	-172.0	0.410658307210031	-285.0
309.0	"309 - KENMORE"	1212.0	988.0	23.0	2223.0	817.0	718.0	2.0	1537.0	0.531554977228367	97.0	0.545209176788124	201.0
310.0	"310 - KIRBY"	559.0	765.0	18.0	1342.0	391.0	544.0	1.0	936.0	0.417735042735043	-154.0	0.416542473919523	-224.0
311.0	"311 - LANGLEY"	672.0	590.0	17.0	1279.0	489.0	541.0	2.0	1032.0	0.473837209302326	-54.0	0.525410476935106	65.0
312.0	"312 - LONGFELLOW"	658.0	974.0	19.0	1651.0	467.0	654.0	5.0	1126.0	0.414742451154529	-192.0	0.39854633555421	-335.0
314.0	"314 - MCLEAN"	643.0	832.0	14.0	1489.0	481.0	584.0	1.0	1066.0	0.451219512195122	-104.0	0.431833445265279	-203.0
315.0	"315 - PIMMIT"	790.0	1390.0	46.0	2226.0	468.0	597.0	0.0	1065.0	0.43943661971831	-129.0	0.354896675651393	-646.0
316.0	"316 - SALONA"	290.0	304.0	4.0	598.0	270.0	367.5	0.0	637.5	0.423529411764706	-97.5	0.48494983277592	-18.0
317.0	"317 - WESTHAMPTON"	551.0	847.0	22.0	1420.0	358.0	552.0	0.0	910.0	0.393406593406593	-194.0	0.388028169014084	-318.0
318.0	"318 - WESTMORELAND"	377.0	524.0	13.0	914.0	274.0	413.0	0.0	687.0	0.398835516739447	-139.0	0.412472647702407	-160.0
319.0	"319 - HERNDON #1"	968.0	1512.0	49.0	2529.0	709.0	749.0	1.0	1459.0	0.485949280328992	-41.0	0.382759984183472	-593.0
320.0	"320 - HERNDON #2"	818.0	1784.0	47.0	2649.0	557.0	716.0	2.0	1275.0	0.436862745098039	-161.0	0.30879577198943	-1013.0
321.0	"321 - CLEARVIEW"	1318.0	1659.0	49.0	3026.0	882.0	888.0	2.0	1772.0	0.497742663656885	-8.0	0.435558493060145	-390.0
322.0	"322 - FORESTVILLE"	1210.0	773.0	14.0	1997.0	817.0	511.0	3.0	1331.0	0.613824192336589	303.0	0.605908863294942	423.0
323.0	"323 - SHOUSE"	637.0	801.0	19.0	1457.0	502.0	521.0	1.0	1024.0	0.490234375	-20.0	0.437199725463281	-183.0
324.0	"324 - HERNDON #3"	750.0	1583.0	45.0	2378.0	438.0	593.0	0.0	1031.0	0.424830261881668	-155.0	0.315391084945332	-878.0
325.0	"325 - HUTCHISON"	381.0	1134.0	36.0	1551.0	243.0	377.0	2.0	622.0	0.390675241157556	-136.0	0.245647969052224	-789.0
327.0	"327 - SUGARLAND"	1000.0	1121.0	31.0	2152.0	662.0	605.0	2.0	1269.0	0.52167060677699	55.0	0.464684014869888	-152.0
328.0	"328 - HICKORY"	1084.0	926.0	29.0	2039.0	710.0	600.0	1.0	1311.0	0.541571319603356	109.0	0.531633153506621	129.0
329.0	"329 - SENECA"	1170.0	1047.0	17.0	2234.0	837.0	587.0	2.0	1426.0	0.58695652173913	248.0	0.523724261414503	106.0
331.0	"331 - SPRING HILL"	702.0	662.0	10.0	1374.0	566.0	520.0	1.0	1087.0	0.520699172033119	45.0	0.510917030567686	30.0
332.0	"332 - COATES"	549.0	1386.0	29.0	1964.0	200.0	314.0	0.0	514.0	0.389105058365759	-114.0	0.279531568228106	-866.0
333.0	"333 - SALONA #2"	430.0	548.0	14.0	992.0	270.0	367.5	0.0	637.5	0.423529411764706	-97.5	0.433467741935484	-132.0
501.0	"501 - BAILEYS"	499.0	1501.0	24.0	2024.0	338.0	680.0	0.0	1018.0	0.332023575638507	-342.0	0.246541501976285	-1026.0
502.0	"502 - BARCROFT"	304.0	511.0	7.0	822.0	560.0	811.0	3.0	1374.0	0.407569141193595	-254.0	0.369829683698297	-214.0
503.0	"503 - BELVEDERE"	341.0	640.0	14.0	995.0	253.0	474.0	1.0	728.0	0.347527472527473	-222.0	0.342713567839196	-313.0
504.0	"504 - Bristow"	465.0	1105.0	23.0	1593.0	318.0	389.0	1.0	708.0	0.449152542372881	-72.0	0.291902071563089	-663.0
505.0	"505 - GLEN FOREST"	500.0	1259.0	30.0	1789.0	358.0	633.0	2.0	993.0	0.360523665659617	-277.0	0.279485746226942	-789.0
506.0	"506 - HOLMES"	402.0	1181.0	24.0	1607.0	252.0	499.0	2.0	753.0	0.334661354581673	-249.0	0.250155569383945	-803.0
507.0	"507 - LINCOLNIA"	568.0	1345.0	27.0	1940.0	371.0	634.0	1.0	1006.0	0.368787276341948	-264.0	0.292783505154639	-804.0
508.0	"508 - MASONVILLE"	642.0	1142.0	35.0	1819.0	373.0	468.0	0.0	841.0	0.443519619500595	-95.0	0.352941176470588	-535.0
510.0	"510 - PARKLAWN"	511.0	917.0	23.0	1451.0	367.0	441.0	1.0	809.0	0.453646477132262	-75.0	0.352170916609235	-429.0
511.0	"511 - RAVENWOOD"	610.0	988.0	21.0	1619.0	271.0	489.0	0.0	760.0	0.356578947368421	-218.0	0.376775787523162	-399.0
512.0	"512 - SLEEPY HOLLOW"	357.0	574.0	19.0	950.0	284.0	397.0	0.0	681.0	0.417033773861968	-113.0	0.375789473684211	-236.0
513.0	"513 - SAINT ALBANS"	599.0	1012.0	18.0	1629.0	437.0	611.0	1.0	1049.0	0.416587225929457	-175.0	0.367710251688152	-431.0
515.0	"515 - WESTLAWN"	358.0	743.0	21.0	1122.0	202.0	313.0	1.0	516.0	0.391472868217054	-112.0	0.319073083778966	-406.0
516.0	"516 - WEYANOKE"	524.0	1407.0	28.0	1959.0	251.0	428.0	0.0	679.0	0.369661266568483	-177.0	0.267483409903012	-911.0
517.0	"517 - WILLSTON"	292.0	857.0	22.0	1171.0	204.0	315.0	2.0	521.0	0.391554702495202	-113.0	0.24935952177626	-587.0
518.0	"518 - COLUMBIA"	601.0	1100.0	22.0	1723.0	425.0	496.0	2.0	923.0	0.460455037919827	-73.0	0.34881021474173	-521.0
519.0	"519 - HUMMER"	506.0	756.0	26.0	1288.0	341.0	377.0	0.0	718.0	0.474930362116992	-36.0	0.392857142857143	-276.0
520.0	"520 - SKYLINE"	544.0	2058.0	25.0	2627.0	309.0	739.0	1.0	1049.0	0.294566253574833	-431.0	0.207080319756376	-1539.0
521.0	"521 - BROOK HILL"	548.0	875.0	21.0	1444.0	409.0	374.0	1.0	784.0	0.521683673469388	34.0	0.379501385041551	-348.0
522.0	"522 - CAMELOT"	510.0	515.0	12.0	1037.0	361.0	363.0	0.0	724.0	0.498618784530387	-2.0	0.491803278688525	-17.0
523.0	"523 - POE"	608.0	1067.0	19.0	1694.0	426.0	577.0	2.0	1005.0	0.423880597014925	-153.0	0.358913813459268	-478.0
525.0	"525 - WALNUT HILL"	812.0	1531.0	36.0	2379.0	588.0	686.0	0.0	1274.0	0.461538461538462	-98.0	0.341319882303489	-755.0
526.0	"526 - BREN MAR"	586.0	1599.0	23.0	2208.0	408.0	619.0	0.0	1027.0	0.397273612463486	-211.0	0.265398550724638	-1036.0
527.0	"527 - EDSALL"	488.0	894.0	25.0	1407.0	420.0	537.0	0.0	957.0	0.438871473354232	-117.0	0.34683724235963	-431.0
528.0	"528 - RIDGELEA"	403.0	428.0	9.0	840.0	302.0	283.0	2.0	587.0	0.514480408858603	17.0	0.479761904761905	-34.0
601.0	"601 - BELLE HAVEN"	648.0	768.0	9.0	1425.0	516.0	528.0	1.0	1045.0	0.49377990430622	-13.0	0.454736842105263	-129.0
602.0	"602 - BELLEVIEW"	590.0	971.0	24.0	1585.0	384.0	576.0	0.0	960.0	0.4	-192.0	0.372239747634069	-405.0
604.0	"604 - BUCKNELL"	551.0	1808.0	31.0	2390.0	410.0	818.0	3.0	1231.0	0.33306255077173	-411.0	0.230543933054393	-1288.0
605.0	"605 - FORT HUNT"	805.0	773.0	16.0	1594.0	603.0	536.0	2.0	1141.0	0.528483786152498	65.0	0.505018820577164	16.0
606.0	"606 - HOLLIN HALL"	774.0	886.0	23.0	1683.0	456.0	540.0	1.0	997.0	0.457372116349047	-85.0	0.459893048128342	-135.0
607.0	"607 - HUNTINGTON"	670.0	1579.0	43.0	2292.0	483.0	776.0	4.0	1263.0	0.382422802850356	-297.0	0.292321116928447	-952.0
608.0	"608 - KIRKSIDE"	412.0	861.0	12.0	1285.0	325.0	650.0	3.0	978.0	0.332310838445808	-328.0	0.320622568093385	-461.0
609.0	"609 - MARLAN"	642.0	794.0	22.0	1458.0	496.0	571.0	0.0	1067.0	0.46485473289597	-75.0	0.440329218106996	-174.0
610.0	"610 - SHERWOOD"	406.0	914.0	16.0	1336.0	515.0	713.0	4.0	1232.0	0.418019480519481	-202.0	0.303892215568862	-524.0
611.0	"611 - STRATFORD"	923.0	982.0	19.0	1924.0	855.0	914.0	3.0	1772.0	0.482505643340858	-62.0	0.47972972972973	-78.0
612.0	"612 - WAYNEWOOD"	474.0	452.0	12.0	938.0	422.0	368.0	0.0	790.0	0.534177215189873	54.0	0.505330490405117	10.0
613.0	"613 - WESTGATE"	1424.0	1124.0	21.0	2569.0	1001.0	618.0	0.0	1619.0	0.618282890673255	383.0	0.554301284546516	279.0
614.0	"614 - RIVERSIDE"	729.0	663.0	12.0	1404.0	577.0	479.0	2.0	1058.0	0.545368620037807	96.0	0.519230769230769	54.0
615.0	"615 - WOODLEY"	753.0	1093.0	21.0	1867.0	547.0	525.0	1.0	1073.0	0.509785647716682	21.0	0.403320835565078	-361.0
616.0	"616 - GUNSTON"	818.0	856.0	22.0	1696.0	623.0	427.0	0.0	1050.0	0.593333333333333	196.0	0.482311320754717	-60.0
617.0	"617 - LORTON"	316.0	1181.0	8.0	1505.0	170.0	430.0	1.0	601.0	0.282861896838602	-261.0	0.209966777408638	-873.0
618.0	"618 - NEWINGTON"	1231.0	2089.0	55.0	3375.0	857.0	899.0	5.0	1761.0	0.486655309483248	-47.0	0.364740740740741	-913.0
619.0	"619 - BELVOIR"	660.0	1089.0	39.0	1788.0	406.0	417.0	1.0	824.0	0.492718446601942	-12.0	0.369127516778524	-468.0
621.0	"621 - GROSVENOR"	406.0	1020.0	27.0	1453.0	165.0	275.0	0.0	440.0	0.375	-110.0	0.279421885753613	-641.0
622.0	"622 - LORTON STATION"	570.0	1720.0	32.0	2322.0	320.0	608.0	1.0	929.0	0.344456404736276	-289.0	0.245478036175711	-1182.0
623.0	"623 - ALBAN"	322.0	586.0	16.0	924.0	251.0	195.0	1.0	447.0	0.561521252796421	55.0	0.348484848484849	-280.0
625.0	"625 - LORTON CENTER"	495.0	862.0	13.0	1370.0	346.0	330.0	1.0	677.0	0.511078286558346	15.0	0.361313868613139	-380.0
626.0	"626 - SARATOGA"	1287.0	2122.0	59.0	3468.0	959.0	1030.0	5.0	1994.0	0.480942828485456	-76.0	0.371107266435986	-894.0
627.0	"627 - WOODLAWN"	578.0	1728.0	28.0	2334.0	393.0	787.0	3.0	1183.0	0.332206255283178	-397.0	0.24764353041988	-1178.0
628.0	"628 - LAUREL HILL"	708.0	1685.0	25.0	2418.0	398.0	524.0	0.0	922.0	0.431670281995662	-126.0	0.292803970223325	-1002.0
629.0	"629 - SOUTH COUNTY"	920.0	1019.0	22.0	1961.0	588.0	463.0	0.0	1051.0	0.559467174119886	125.0	0.469148393676696	-121.0
701.0	"701 - BLAKE"	1071.0	1919.0	45.0	3035.0	648.0	883.0	2.0	1533.0	0.422700587084149	-237.0	0.352883031301483	-893.0
703.0	"703 - FORT BUFFALO"	299.0	870.0	26.0	1195.0	208.0	408.0	3.0	619.0	0.336025848142165	-203.0	0.25020920502092	-597.0
704.0	"704 - FREEDOM HILL"	603.0	846.0	15.0	1464.0	405.0	469.0	0.0	874.0	0.463386727688787	-64.0	0.411885245901639	-258.0
705.0	"705 - GRAHAM-GREENWAY"	720.0	1649.0	56.0	2425.0	430.0	765.0	3.0	1198.0	0.358931552587646	-338.0	0.296907216494845	-985.0
707.0	"707 - MANTUA"	611.0	862.0	25.0	1498.0	496.0	582.0	1.0	1079.0	0.459684893419833	-87.0	0.407877169559413	-276.0
708.0	"708 - MARSHALL"	1012.0	2091.0	61.0	3164.0	579.0	990.0	2.0	1571.0	0.368555060471038	-413.0	0.319848293299621	-1140.0
709.0	"709 - MOSBY"	675.0	1424.0	40.0	2139.0	301.5	438.0	0.5	740.0	0.407432432432432	-137.0	0.315568022440393	-789.0
710.0	"710 - PINE SPRING"	518.0	1106.0	38.0	1662.0	300.0	541.0	3.0	844.0	0.355450236966825	-244.0	0.311672683513839	-626.0
711.0	"711 - PRICE"	523.0	812.0	24.0	1359.0	373.0	487.0	0.0	860.0	0.433720930232558	-114.0	0.384841795437822	-313.0
712.0	"712 - SHREVE"	362.0	657.0	11.0	1030.0	303.0	424.0	0.0	727.0	0.416781292984869	-121.0	0.351456310679612	-306.0
713.0	"713 - TIMBER LANE"	621.0	1511.0	29.0	2161.0	369.0	641.0	2.0	1012.0	0.364624505928854	-274.0	0.287366959740861	-919.0
714.0	"714 - WALKER"	833.0	1424.0	50.0	2307.0	551.0	631.0	1.0	1183.0	0.465765004226543	-81.0	0.361074989163416	-641.0
717.0	"717 - WOODBURN"	473.0	847.0	28.0	1348.0	295.0	452.0	1.0	748.0	0.394385026737968	-158.0	0.350890207715134	-402.0
718.0	"718 - PINE RIDGE"	554.0	956.0	33.0	1543.0	341.0	409.0	0.0	750.0	0.454666666666667	-68.0	0.359040829552819	-435.0
719.0	"719 - STENWOOD"	324.0	412.0	13.0	749.0	217.0	254.0	0.0	471.0	0.46072186836518	-37.0	0.432576769025367	-101.0
720.0	"720 - THOREAU"	532.0	700.0	21.0	1253.0	346.0	475.0	2.0	823.0	0.42041312272175	-131.0	0.424581005586592	-189.0
721.0	"721 - MERRIFIELD"	776.0	1731.0	60.0	2567.0	394.0	484.0	0.0	878.0	0.44874715261959	-90.0	0.302298402804831	-1015.0
726.0	"726 - MAGARITY"	792.0	1468.0	50.0	2310.0	477.0	655.0	1.0	1133.0	0.421006178287732	-179.0	0.342857142857143	-726.0
727.0	"727 - OAKTON"	881.0	842.0	19.0	1742.0	626.0	622.0	0.0	1248.0	0.501602564102564	4.0	0.505740528128588	20.0
729.0	"729 - NOTTOWAY"	922.0	1465.0	43.0	2430.0	630.0	895.0	1.0	1526.0	0.412844036697248	-266.0	0.379423868312757	-586.0
730.0	"730 - PENDERBROOK"	947.0	1303.0	31.0	2281.0	554.0	585.0	0.0	1139.0	0.486391571553995	-31.0	0.415168785620342	-387.0
731.0	"731 - TYSONS"	673.0	1101.0	27.0	1801.0	345.0	417.0	1.0	763.0	0.4521625163827	-73.0	0.373681288173237	-455.0
732.0	"732 - OAK MARR"	1174.0	1229.0	30.0	2433.0	781.0	791.0	1.0	1573.0	0.496503496503497	-11.0	0.482531853678586	-85.0
733.0	"733 - KILMER"	965.0	1679.0	26.0	2670.0	527.0	848.0	0.0	1375.0	0.383272727272727	-321.0	0.361423220973783	-740.0
734.0	"734 - HUNTERS BRANCH"	399.0	779.0	23.0	1201.0	301.5	438.0	0.5	740.0	0.407432432432432	-137.0	0.332223147377186	-403.0
