fid	selected	turnout_cov	margin_cov	share_cov	turnout	margin	share	totalpvotes08	totalcvotes06	totalcvotes08	totalcvotes10	totalcvotes12	npvote08	nvote06	nvote08	nvote10	npvote12	nvote12	pvote12	pvote08	dvote06	dvote08	dvote10	dvote12	study	include	probs.1.1	probs.1.0	probs.0.1	probs.0.0	condition_factor	i	weights	condition	numberofspillovers	treatable	Z.obs
31	0	265	-52	0.395161290322581	410	-85	0.387267904509284	414	260	398	265	410	-68	-97	-102	-52	-56	-85	0.416256157635468	0.417874396135266	0.306772908366534	0.351744186046512	0.395161290322581	0.387267904509284	"Experiment 1"	1.0	0.0	0.221	0.7107	0.0683	"Adjacent"	93	1.40706345856198	3.0	2.0	1.0	0.0
32	1	393	-1	0.498575498575499	639	-31	0.471971066907776	620	449	606	393	639	48	-76	-42	-1	121	-31	0.585714285714286	0.538709677419355	0.4	0.453947368421053	0.498575498575499	0.471971066907776	"Experiment 1"	1.0	0.0	0.3632	0.5289	0.1079	"Treated"	93	2.75330396475771	2.0	0.0	1.0	1.0
33	0	173	-31	0.398692810457516	265	-80	0.33739837398374	288	167	275	173	265	-44	-33	-81	-31	-62	-80	0.360153256704981	0.423611111111111	0.402366863905325	0.32	0.398692810457516	0.33739837398374	"Experiment 1"	1.0	0.0	0.5145	0.2921	0.1934	"Adjacent"	93	3.42348510783978	3.0	1.0	1.0	0.0
34	1	376	-26	0.464864864864865	545	-56	0.446360153256705	569	402	533	376	545	-37	-55	-106	-26	-16	-56	0.478821362799263	0.467486818980668	0.426666666666667	0.390495867768595	0.464864864864865	0.446360153256705	"Experiment 1"	1.0	0.0	0.5526	0.2066	0.2408	"Treated"	93	1.80962721679334	2.0	0.0	1.0	1.0
35	1	491	-114	0.377155172413793	686	-167	0.36724960254372	713	498	703	491	686	-59	-173	-140	-114	-53	-167	0.455212922173275	0.458625525946704	0.319415448851775	0.38135593220339	0.377155172413793	0.36724960254372	"Experiment 1"	1.0	0.0	0.3081	0.6216	0.0703	"Treated"	93	3.24569944823109	2.0	0.0	1.0	1.0
36	0	326	-70	0.380952380952381	456	-99	0.382422802850356	498	336	462	326	456	-18	-104	-65	-70	-16	-99	0.471238938053097	0.481927710843373	0.328947368421053	0.417302798982188	0.380952380952381	0.382422802850356	"Experiment 1"	1.0	0.0	0.1577	0.8078	0.0345	"Adjacent"	93	1.23793018073781	3.0	2.0	1.0	0.0
37	0	493	-97	0.39524838012959	734	-205	0.35036496350365	779	542	746	493	734	-89	-133	-208	-97	-79	-205	0.436388508891929	0.442875481386393	0.368316831683168	0.3375	0.39524838012959	0.35036496350365	"Experiment 1"	1.0	0.0	0.1621	0.8263	0.0116	"Adjacent"	93	1.2102142079148	3.0	2.0	1.0	0.0
38	0	515	-52	0.447368421052632	751	-161	0.384505021520803	778	564	751	515	751	6	-118	-149	-52	-39	-161	0.456608811748999	0.503856041131105	0.388679245283019	0.385560675883257	0.447368421052632	0.384505021520803	"Experiment 1"	1.0	0.0	0.1496	0.7785	0.0719	"Adjacent"	93	1.28452151573539	3.0	2.0	1.0	0.0
39	0	456	157	0.678815489749431	723	238	0.678678678678679	598	466	584	456	723	276	66	144	157	306	238	0.696378830083565	0.730769230769231	0.572687224669604	0.634831460674157	0.678815489749431	0.678678678678679	"Experiment 1"	1.0	0.0	0.1885	0.7027	0.1088	"Adjacent"	93	1.42308239647076	3.0	2.0	1.0	0.0
40	0	460	-47	0.44671201814059	730	-143	0.395314787701318	792	520	760	460	730	-2	-104	-115	-47	-22	-143	0.474412171507607	0.498737373737374	0.3984375	0.41112828438949	0.44671201814059	0.395314787701318	"Experiment 1"	1.0	0.0	0.4467	0.3839	0.1694	"Adjacent"	93	2.6048450117218	3.0	1.0	1.0	0.0
41	1	289	-82	0.353571428571429	389	-136	0.307909604519774	378	275	373	289	389	-94	-126	-120	-82	-96	-136	0.365284974093264	0.375661375661376	0.251968503937008	0.319277108433735	0.353571428571429	0.307909604519774	"Experiment 1"	1.0	0.0	0.2077	0.7369	0.0554	"Treated"	93	4.81463649494463	2.0	0.0	1.0	1.0
42	1	282	-19	0.460905349794239	432	-28	0.462962962962963	437	294	434	282	432	-35	-65	-66	-19	-6	-28	0.481308411214953	0.459954233409611	0.372549019607843	0.39	0.460905349794239	0.462962962962963	"Experiment 1"	1.0	0.0	0.2921	0.6662	0.0417	"Treated"	93	3.42348510783978	2.0	0.0	1.0	1.0
43	0	305	-17	0.471186440677966	471	-113	0.368909512761021	461	346	445	305	471	39	-70	-69	-17	0	-113	0.495726495726496	0.542299349240781	0.395209580838323	0.411764705882353	0.471186440677966	0.368909512761021	"Experiment 1"	1.0	0.0	0.2466	0.7096	0.0438	"Control"	93	22.8310502283105	4.0	0.0	1.0	0.0
44	0	351	-46	0.431547619047619	553	-100	0.401960784313726	575	376	540	351	553	-13	-86	-81	-46	3	-100	0.487179487179487	0.488695652173913	0.380555555555556	0.414376321353066	0.431547619047619	0.401960784313726	"Experiment 1"	1.0	0.0	0.3241	0.6078	0.0681	"Adjacent"	93	1.64527805199079	3.0	1.0	1.0	0.0
45	1	461	-121	0.356973995271868	711	-195	0.345971563981043	724	520	689	461	711	-64	-169	-173	-121	-101	-195	0.416666666666667	0.455801104972376	0.329292929292929	0.358890701468189	0.356973995271868	0.345971563981043	"Experiment 1"	1.0	0.0	0.3651	0.5392	0.0957	"Treated"	93	2.73897562311695	2.0	0.0	1.0	1.0
46	0	410	-7	0.490861618798956	609	-124	0.385185185185185	598	430	582	410	609	8	-99	35	-7	-4	-124	0.485099337748344	0.506688963210702	0.37593984962406	0.534653465346535	0.490861618798956	0.385185185185185	"Experiment 1"	1.0	0.0	0.2189	0.6598	0.1213	"Adjacent"	93	1.51561079114883	3.0	1.0	1.0	0.0
47	0	141	-27	0.390243902439024	203	-31	0.415300546448087	205	146	205	141	203	-33	-47	-67	-27	-8	-31	0.46969696969697	0.419512195121951	0.317829457364341	0.314917127071823	0.390243902439024	0.415300546448087	"Experiment 1"	1.0	0.0	0.3715	0.506	0.1225	"Control"	93	8.16326530612245	4.0	0.0	1.0	0.0
48	1	298	90	0.659574468085106	535	154	0.65587044534413	460	326	462	298	535	178	54	103	90	239	154	0.714285714285714	0.693478260869565	0.589403973509934	0.627160493827161	0.659574468085106	0.65587044534413	"Experiment 1"	1.0	0.0	0.3878	0.4834	0.1288	"Treated"	93	2.57864878803507	2.0	0.0	1.0	1.0
49	0	354	3	0.504477611940298	500	-74	0.417777777777778	566	425	552	354	500	36	-76	-53	3	51	-74	0.542338709677419	0.531802120141343	0.401041666666667	0.442764578833693	0.504477611940298	0.417777777777778	"Experiment 1"	1.0	0.0	0.284	0.6684	0.0476	"Adjacent"	93	1.49611011370437	3.0	2.0	1.0	0.0
50	1	486	-40	0.457446808510638	687	-154	0.382621951219512	721	523	688	486	687	23	-118	-153	-40	-2	-154	0.49266862170088	0.515950069348128	0.389097744360902	0.380655226209048	0.457446808510638	0.382621951219512	"Experiment 1"	1.0	0.0	0.2021	0.6989	0.099	"Treated"	93	4.9480455220188	2.0	0.0	1.0	1.0
51	1	502	-43	0.454157782515991	735	-88	0.435103244837758	738	534	720	502	735	6	-118	-98	-43	43	-88	0.514986376021798	0.504065040650406	0.382	0.421221864951768	0.454157782515991	0.435103244837758	"Experiment 1"	1.0	0.0	0.2439	0.7187	0.0374	"Treated"	93	4.10004100041	2.0	0.0	1.0	1.0
52	0	792	-134	0.833095958696813	1200	-386	0.657707034804856	2476	838	2362	792	1200	-40	-51	-28	-134	-40	-386	0.938684655318121	0.983844911147011	0.932770711024136	0.987132352941177	0.833095958696813	0.657707034804856	"Experiment 1"	1.0	0.0	0.354	0.5893	0.0567	"Adjacent"	93	1.69692855930765	3.0	1.0	1.0	0.0
53	0	625	41	1.07125105400967	890	-168	0.802492622131167	1896	630	1832	625	890	260	46	198	41	95	-168	1.095584952288	1.13713080168776	1.08378635997025	1.11688311688312	1.07125105400967	0.802492622131167	"Experiment 1"	1.0	0.0	0.0293	0.9705	2.0E-4	"Adjacent"	93	1.03039670273055	3.0	2.0	1.0	0.0
54	1	476	-68	0.422727272727273	527	-109	0.385263157894737	552	359	537	476	527	-14	-33	-38	-68	20	-109	0.503802281368821	0.48731884057971	0.452722063037249	0.459401709401709	0.422727272727273	0.385263157894737	"Experiment 1"	1.0	0.0	0.4804	0.3709	0.1487	"Treated"	93	2.08159866777685	2.0	0.0	1.0	1.0
55	0	315	-149	0.257328990228013	466	-191	0.281464530892448	935	322	898	315	466	-179	-119	-317	-149	-76	-191	0.407327586206897	0.40427807486631	0.313479623824451	0.314619883040936	0.257328990228013	0.281464530892448	"Experiment 1"	1.0	0.0	0.2713	0.6838	0.0449	"Adjacent"	93	1.46241591108511	3.0	2.0	1.0	0.0
56	0	780	-20	0.988860941430111	1112	-138	0.893761408783421	2494	905	2458	780	1112	358	40	380	-20	192	-138	1.17240311106686	1.14354450681636	1.06840172944041	1.17086330935252	0.988860941430111	0.893761408783421	"Experiment 1"	1.0	0.0	0.2314	0.5672	0.2014	"Adjacent"	93	1.76304654442877	3.0	1.0	1.0	0.0
57	1	198	-63	0.335078534031414	278	-110	0.28515625	307	201	307	198	278	-45	-27	-29	-63	-14	-110	0.456521739130435	0.42671009771987	0.435406698564593	0.448028673835125	0.335078534031414	0.28515625	"Experiment 1"	1.0	0.0	0.2461	0.6348	0.1191	"Treated"	93	4.06338886631451	2.0	0.0	1.0	1.0
58	0	197	3	0.507692307692308	270	-35	0.432950191570881	1045	202	1028	197	270	119	10	95	3	53	-35	0.585185185185185	0.556937799043062	0.525252525252525	0.549738219895288	0.507692307692308	0.432950191570881	"Experiment 1"	1.0	0.0	0.3262	0.6298	0.044	"Adjacent"	93	1.58780565258812	3.0	1.0	1.0	0.0
59	0	232	-16	0.464601769911504	312	-40	0.433333333333333	338	268	322	232	312	-16	-1	-21	-16	-9	-40	0.480645161290323	0.476331360946746	0.49812734082397	0.464882943143813	0.464601769911504	0.433333333333333	"Experiment 1"	1.0	0.0	0.1641	0.7565	0.0794	"Control"	93	12.5944584382872	4.0	0.0	1.0	0.0
60	0	139	-53	0.309352517985612	214	-47	0.370165745856354	224	161	225	139	214	-36	-36	-45	-53	-45	-47	0.380952380952381	0.419642857142857	0.386075949367089	0.388059701492537	0.309352517985612	0.370165745856354	"Experiment 1"	1.0	0.0	0.3118	0.5494	0.1388	"Adjacent"	93	1.8201674554059	3.0	1.0	1.0	0.0
61	0	435	-50	0.439613526570048	570	-186	0.32319391634981	578	399	559	435	570	-40	-58	-84	-50	-49	-186	0.441489361702128	0.465397923875433	0.427860696517413	0.414634146341463	0.439613526570048	0.32319391634981	"Experiment 1"	1.0	0.0	0.2928	0.6745	0.0327	"Control"	93	30.5810397553517	4.0	0.0	1.0	0.0
62	0	256	-24	0.450413223140496	389	-112	0.34180790960452	442	292	427	256	389	-40	-38	-49	-24	-33	-112	0.438961038961039	0.454751131221719	0.434931506849315	0.433242506811989	0.450413223140496	0.34180790960452	"Experiment 1"	1.0	0.0	0.2953	0.6194	0.0853	"Adjacent"	93	1.61446561188247	3.0	1.0	1.0	0.0
63	1	224	-84	0.309090909090909	297	-108	0.304347826086957	354	230	354	224	297	-10	-27	-57	-84	-44	-108	0.420338983050847	0.485875706214689	0.438356164383562	0.408945686900958	0.309090909090909	0.304347826086957	"Experiment 1"	1.0	0.0	0.3791	0.4989	0.122	"Treated"	93	2.63782643102084	2.0	0.0	1.0	1.0
64	0	661	-68	0.907552083333333	991	-246	0.73861216730038	2166	731	2070	661	991	10	-27	-88	-68	67	-246	1.03906925096744	1.00461680517082	0.954219587022525	0.953684210526316	0.907552083333333	0.73861216730038	"Experiment 1"	1.0	0.0	0.1487	0.7491	0.1022	"Adjacent"	93	1.3349352556401	3.0	1.0	1.0	0.0
65	0	241	-106	0.277310924369748	321	-172	0.227848101265823	323	228	306	241	321	-101	-66	-123	-106	-94	-172	0.348909657320872	0.343653250773994	0.358974358974359	0.302250803858521	0.277310924369748	0.227848101265823	"Experiment 1"	1.0	0.0	0.2362	0.7471	0.0167	"Adjacent"	93	1.33850890108419	3.0	1.0	1.0	0.0
66	0	930	-43	0.476243093922652	1280	-301	0.371477369769428	1305	902	1269	930	1280	87	-12	53	-43	1	-301	0.491365777080063	0.533333333333333	0.493449781659389	0.522904062229905	0.476243093922652	0.371477369769428	"Experiment 1"	1.0	0.0	0.2815	0.6609	0.0576	"Adjacent"	93	1.51308821304282	3.0	1.0	1.0	0.0
67	0	260	-59	0.378600823045267	433	-121	0.342857142857143	453	281	440	260	433	-63	-38	-65	-59	18	-121	0.510489510489511	0.43046357615894	0.431654676258993	0.415143603133159	0.378600823045267	0.342857142857143	"Experiment 1"	1.0	0.0	0.1789	0.7809	0.0402	"Control"	93	24.8756218905473	4.0	0.0	1.0	0.0
68	0	278	-75	0.362637362637363	430	-147	0.304	452	300	442	278	430	-66	-92	-74	-75	-48	-147	0.437647058823529	0.426991150442478	0.341379310344828	0.404145077720207	0.362637362637363	0.304	"Experiment 1"	1.0	0.0	0.4043	0.5038	0.0919	"Adjacent"	93	1.98491464867011	3.0	2.0	1.0	0.0
69	0	851	-100	0.439759036144578	1238	-251	0.38942731277533	1253	815	1199	851	1238	-59	-88	-92	-100	-34	-251	0.479251423921888	0.476456504389465	0.446341463414634	0.457486136783734	0.439759036144578	0.38942731277533	"Experiment 1"	1.0	0.0	0.1727	0.7912	0.0361	"Adjacent"	93	1.2639029322548	3.0	2.0	1.0	0.0
70	1	251	-65	0.366255144032922	374	-132	0.310344827586207	408	291	392	251	374	-56	-69	-69	-65	-90	-132	0.369973190348525	0.431372549019608	0.378947368421053	0.4	0.366255144032922	0.310344827586207	"Experiment 1"	1.0	0.0	0.4486	0.4089	0.1425	"Treated"	93	2.22915737851092	2.0	0.0	1.0	1.0
71	0	468	-46	0.449339207048458	694	-180	0.361538461538462	727	536	689	468	694	-9	-59	-47	-46	6	-180	0.48766328011611	0.493810178817056	0.446265938069217	0.463901689708141	0.449339207048458	0.361538461538462	"Experiment 1"	1.0	0.0	0.3416	0.5933	0.0651	"Adjacent"	93	1.68548794876117	3.0	1.0	1.0	0.0
72	0	267	38	0.577868852459016	422	-7	0.490716180371353	447	346	419	267	422	59	-55	48	38	83	-7	0.592417061611374	0.565995525727069	0.412140575079872	0.565934065934066	0.577868852459016	0.490716180371353	"Experiment 1"	1.0	0.0	0.2899	0.3889	0.3212	"Control"	93	3.11332503113325	4.0	0.0	1.0	0.0
73	0	460	57	0.565217391304348	658	-46	0.462540716612378	695	524	663	460	658	155	-18	121	57	112	-46	0.575803981623277	0.611510791366906	0.481404958677686	0.603418803418803	0.565217391304348	0.462540716612378	"Experiment 1"	1.0	0.0	0.2175	0.4619	0.3206	"Control"	93	3.11915159076731	4.0	0.0	1.0	0.0
74	0	174	-31	0.408284023668639	265	-47	0.405622489959839	291	198	279	174	265	-27	-22	-51	-31	-11	-47	0.473484848484849	0.45360824742268	0.440860215053763	0.4	0.408284023668639	0.405622489959839	"Experiment 1"	1.0	0.0	0.3848	0.5017	0.1135	"Adjacent"	93	1.99322304165836	3.0	1.0	1.0	0.0
75	0	283	-85	0.343173431734317	414	-141	0.319693094629156	935	294	898	283	414	-179	-46	-317	-85	-30	-141	0.454987834549878	0.40427807486631	0.420138888888889	0.314619883040936	0.343173431734317	0.319693094629156	"Experiment 1"	1.0	0.0	0.3487	0.5075	0.1438	"Control"	93	6.95410292072323	4.0	0.0	1.0	0.0
76	1	486	-4	0.495744680851064	679	-136	0.394736842105263	1045	519	1028	486	679	119	13	95	-4	87	-136	0.553412462908012	0.556937799043062	0.512380952380952	0.549738219895288	0.495744680851064	0.394736842105263	"Experiment 1"	1.0	0.0	0.2338	0.7365	0.0297	"Treated"	93	4.27715996578272	2.0	0.0	1.0	1.0
77	0	246	8	0.517391304347826	339	12	0.519480519480519	763	248	716	246	339	247	32	162	8	90	12	0.62874251497006	0.661861074705111	0.565040650406504	0.627760252365931	0.517391304347826	0.519480519480519	"Experiment 1"	1.0	0.0	0.3776	0.4981	0.1243	"Adjacent"	93	2.00762899016262	3.0	1.0	1.0	0.0
78	1	293	22	0.538461538461538	392	19	0.525606469002695	1220	319	1189	293	392	576	51	400	22	113	19	0.637532133676093	0.736065573770492	0.580441640378549	0.704081632653061	0.538461538461538	0.525606469002695	"Experiment 1"	1.0	0.0	0.2314	0.3666	0.402	"Treated"	93	4.32152117545376	2.0	0.0	1.0	1.0
79	1	241	40	0.585470085470085	441	64	0.580808080808081	813	298	790	241	441	335	55	283	40	145	64	0.647727272727273	0.706027060270603	0.593856655290102	0.701280227596017	0.585470085470085	0.580808080808081	"Experiment 1"	0.0	0.0	0.0	0.2802	0.7198	"Control"	93	1.38927479855515	4.0	0.0	0.0	0.0
